id,rent_price,rent_price_by_area,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,district,neighborhood,avg_district_rent,median_district_rent,std_district_rent,overpriced,built_year,has_lift,has_ac,has_pool,has_parking,is_furnished
21742,471,,64.0,60.0,2,1,Villaverde,San Cristóbal,781.5945945945946,728.0,238.33220795427417,0,1960.0,False,True,,False,
21741,666,,70.0,,3,1,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,0,,True,,,False,
21740,722,,94.0,54.0,2,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,,True,,,False,
21739,583,,64.0,,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1955.0,True,,,False,
21738,1094,,108.0,90.0,2,2,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,2003.0,True,True,True,True,
21737,901,,126.0,114.0,4,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,1981.0,False,,,True,
21736,884,,120.0,100.0,5,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,,False,True,True,True,
21735,912,,125.0,100.0,3,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,,False,True,,False,
21734,954,,84.0,70.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,True,True,True,
21733,672,,85.0,,2,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,1950.0,False,,,False,
21732,617,,69.0,,2,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1963.0,False,,,False,
21731,1058,,122.0,98.0,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,True,True,True,
21730,901,,123.0,104.0,3,2,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,1992.0,True,True,,False,
21729,933,,109.0,90.0,3,2,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,1,1983.0,True,,,False,
21728,408,,64.0,,3,1,Villaverde,San Cristóbal,781.5945945945946,728.0,238.33220795427417,0,1960.0,False,,,False,
21727,780,,115.0,,3,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,,,True,,False,
21726,867,,115.0,88.0,3,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,,False,True,,False,
